INSEE_COM;NOM_COM;NB_IRIS
49246;Les Ponts-de-Cé;6
49267;Saint-Barthélemy-d'Anjou;5
49301;Saint-Macaire-en-Mauges;2
49328;Saumur;11
49331;Segré;3
49353;Trélazé;6
49373;Vihiers;2
50025;Avranches;3
50099;Carentan;3
50129;Cherbourg-Octeville;21
50147;Coutances;4
50173;Équeurdreville-Hainneville;8
50203;La Glacerie;3
50218;Granville;8
50416;Querqueville;3
50502;Saint-Lô;9
50602;Tourlaville;8
50615;Valognes;6
51055;Bétheny;3
51108;Châlons-en-Champagne;23
51172;Cormontreuil;3
51230;Épernay;12
51242;Fagnières;2
51250;Fismes;2
51454;Reims;85
51506;Saint-Memmie;2
51507;Sainte-Menehould;2
51535;Sézanne;2
51573;Tinqueux;4
51649;Vitry-le-François;7
52121;Chaumont;13
52269;Langres;5
52448;Saint-Dizier;14
53054;Changé;2
53062;Château-Gontier;5
53084;Craon;2
53096;Ernée;2
53097;Évron;3
53130;Laval;20
53147;Mayenne;7
53201;Saint-Berthevin;2
54115;Champigneulles;3
54159;Dombasle-sur-Meurthe;4
54184;Essey-lès-Nancy;4
54215;Frouard;3
54257;Heillecourt;3
54263;Homécourt;3
54273;Jarny;4
54274;Jarville-la-Malgrange;4
54304;Laxou;9
54318;Liverdun;2
54323;Longwy;7
54328;Ludres;3
54329;Lunéville;9
54339;Malzéville;3
54357;Maxéville;5
54382;Mont-Saint-Martin;4
54395;Nancy;43
54430;Pompey;2
54431;Pont-à-Mousson;6
54482;Saint-Max;4
54526;Tomblaine;3
54528;Toul;8
54547;Vandoeuvre-lès-Nancy;17
54578;Villers-lès-Nancy;9
54580;Villerupt;4
55029;Bar-le-Duc;6
55545;Verdun;8
56003;Arradon;2
56007;Auray;5
56034;Carnac;2
56036;Caudan;3
56075;Guer;3
56078;Guidel;4
56083;Hennebont;5
56090;Inzinzac-Lochrist;2
56098;Lanester;11
56101;Languidic;3
56107;Larmor-Plage;3
56121;Lorient;25
